arm,seed,case_id,K,alpha,regime,complete,failure_time,mass_drift,momentum_drift,energy_drift,late_field_log10_rmse,late_electric_mode1_phase_mae,late_perturbation_relative_l2
B,2,K0p321_a0p185,0.321,0.185,transition,True,,5.364418029785156e-07,1.168038579635322e-06,4.1505890974043076e-05,0.7474803119827614,0.5857109983593319,1.0536104699025648
B,2,K0p412_a0p043,0.412,0.043,transition,True,,1.9073486328125e-06,1.84272721526213e-08,8.77370203749074e-06,0.6575287459370225,0.21607446214278817,1.2620313910520138
B,2,K0p409_a0p182,0.409,0.182,strong_nonlinear,True,,1.9669532775878906e-06,2.4418113753199577e-07,8.894538970012387e-06,1.1664035628931617,1.0959461273194633,1.0100776433202885
C,0,K0p280_a0p085,0.28,0.085,strong_nonlinear,True,,7.152557373046875e-07,3.1408853828907013e-07,2.4159169726828167e-05,0.4601500308862286,0.13851207449841282,0.20981488459938938
C,0,K0p303_a0p035,0.303,0.035,transition,True,,2.980232238769531e-07,4.5428896555677056e-07,6.157801721626626e-06,0.47535524048130806,0.11199842097311456,0.3030714108708109
C,0,K0p361_a0p035,0.361,0.035,transition,True,,6.556510925292969e-07,5.5314103519776836e-08,7.000446367444649e-06,0.6642048722089452,0.22414820228330765,0.5181179238043235
C,0,K0p407_a0p105,0.407,0.105,strong_nonlinear,True,,1.1920928955078125e-06,4.6666536945849657e-07,1.8459196983398028e-06,1.0705368622507754,0.633812084122192,0.7617211464941207
C,0,K0p454_a0p125,0.454,0.125,strong_nonlinear,True,,7.748603820800781e-07,1.4586839824914932e-07,3.905099646657396e-06,0.8775752739161286,2.3933074272698764,1.3714221273818548
C,0,K0p500_a0p165,0.5,0.165,strong_nonlinear,True,,7.152557373046875e-07,6.806803867220879e-07,6.5571042380599655e-06,1.0664630308496263,1.3721166715911186,1.6984188998594154
C,0,K0p445_a0p030,0.445,0.03,weak,True,,5.364418029785156e-07,9.974610293284059e-08,3.3302924591474214e-06,2.3898694284325765,0.2672153705927227,5.655576935006122
C,0,K0p420_a0p122,0.42,0.122,strong_nonlinear,True,,1.1324882507324219e-06,6.078334990888834e-08,3.2027422794465846e-06,1.224415255120743,0.45213019899038787,0.8009913384504603
C,0,K0p372_a0p085,0.372,0.085,strong_nonlinear,True,,1.4901161193847656e-06,1.1107113095931709e-07,3.4852953067478107e-06,0.8803473267346913,0.4451538446283857,0.6615444117272172
C,0,K0p368_a0p186,0.368,0.186,transition,True,,7.152557373046875e-07,1.0049552656710148e-06,0.00017008271474422634,0.8802518465379539,0.42187705666980674,0.9693630015066438
C,0,K0p472_a0p032,0.472,0.032,weak,True,,1.6689300537109375e-06,7.128983270376921e-08,3.3302069033761877e-06,3.4630479878509814,1.5307986876350363,9.327151383895735
C,0,K0p460_a0p177,0.46,0.177,strong_nonlinear,True,,7.748603820800781e-07,1.6507692635059357e-07,3.1077937139766473e-06,0.9203104898918782,0.45792349722824066,0.7744506406232197
C,0,K0p280_a0p137,0.28,0.137,strong_nonlinear,True,,4.76837158203125e-07,2.41532688960433e-06,3.492063965242891e-05,0.5773707707043806,0.20256150681540463,0.46736504672089424
C,0,K0p342_a0p167,0.342,0.167,transition,True,,5.960464477539062e-07,2.4866312742233276e-07,2.108917718338488e-05,0.795857731814164,0.3206682006000736,0.7051818950219426
